listing_id,total_outlets,parent_company,business_type,established_year,units_count,leader_name,leader_role
b38c39c0-b9f6-495f-b8be-a65b1c0b9221,,,,,,,
c8f6989c-d785-4cf7-b127-b7ba288a3314,15,Vivanta Resources Pvt Ltd,Private beverage retail franchisor & operator,2012,15,Ms. Vanitha Ramasamy and Ms. Kavitha Devaraju,Promoters / Founding Leaders
b297c5b9-82e3-4c3d-88fc-c509ae881207,37,Independent brand,Private franchise brand offering single-unit & master franchise opportunities,2022,37,Mr. Pankaj Bhoyar,Founder
6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc,30,Individual company,Cafe / Service-provider / Franchise-based Cafe chain,2003,30,Kapil Anil Kulkarni,Founder / Owner
afb4be0a-0173-4248-b0b9-9c7ba0e3ce8f,,Pick Me Foods and Beverages Private Limited,Franchise-based cafe / coffee-bar concept,2019,,Prashant Kulkarni and Vinaya Kulkarni,Directors
09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7,60,Allsilks Designers Private Limited,Private Limited Company,1971,60,Mrs. Pratibha Dudhoria,CEO
b781fa76-8eaf-4cf9-a15c-b6a1c3503554,20,AARK World Pvt. Ltd.,Private Limited Company,2015,20,"Aanchal Saini, Shreya Mishra, Pranay Ashok Surana, Tushar Saxena",Co-Founders / CEO
0e50ed02-6937-4c8d-aa31-b4202a5f77cd,,,Private Company,2010,,Qazi Khushnuma Khatoon,Founder
7e62e026-71a1-4b49-971d-e8bcd1cc4e54,,Giordano International Limited,Public Limited Company,1981,,Colin Melville Kennedy Currie,CEO
8a873fc8-8a68-461e-81f4-55d7f192f2b1,,N&P Singh Private Limited,Private Limited Company,2013,10,P. Gautam,Founder
fc244900-e4b1-4eec-8e70-eb778beac3a5,2,Enzed Global Private Limited,Private Limited Company,2023,,,
a6ae3e8e-b3da-4406-9a53-1f411523033b,42,Code Raft Solutions Pvt. Ltd.,Private Company,2014,,"Anupam Tulsyan, Aradhya Tulsyan",Co-Founders & CEO/Co-Founder
f610d893-650e-46e2-89a6-c50f59036275,70,Primafashion Global Private Limited,Private Limited Company,2022,,"Capt. Rahul Rajyaguru, Sandeep Chaudhary, Sukhraj Singh",Co-Founders & Director / Consulting Creative Director
1dac1aa2-22c2-41e9-a608-2ffb1cefdf84,40,Sunrise Bizcom Private Limited,Private Limited Company,2017,,,
1ee2cd39-dcf0-4e78-971d-967b8f1e2f12,16,Banana Club Clothing Private Limited (Manufacturing) / Banana Club In Vogue Private Limited (Retail),Private Limited Company,2021,,Neel Bafna,Founder & CEO
1c97dc61-7708-4958-8222-3fe8fa9275bc,50,SSIPL Group (Super Sports India Private Limited),Franchise - Retail Store,2005,50,,
9ab139e7-cf16-4085-9352-c51d74e61115,20,Independent,Franchise - Retail Store,2006,20,Paladugu Venkateshwar Rao,Founder
ac303bf7-2a32-471d-9be1-a1dbb2e915e7,350,Adidas AG,Franchise - Retail Store,2008,350,,
df361e73-da0e-4e50-992d-e95e57306357,5,Independent,Franchise - Service & Installation,2010,5,,
c8bbd1a5-9676-4a19-b8c4-1b2f22fe8148,41,CAP (Pathan Brothers),Franchise - Sports Academy,2015,41,"Irfan Pathan, Yusuf Pathan",Founders & Directors
88848236-153f-41d1-85cd-4a9001af249c,,,Franchise - Gym Chain,2020,,,
d96ac4e8-daa4-4d60-9a4d-f7dcb54412b7,,,Franchise - Premium Gym,2017,,,
d451263c-43df-4ba1-b652-cbac27ff7846,20,Earth Travels,"Franchise model in online travel services, service-based travel agency",2015,20,Nitin Singla and Sapna Garg,
a3d5f27f-978c-48e7-97cf-21e8aea6d359,2590,Easy Trip Planners Pvt. Ltd.,Franchise retail travel outlet model,2008,2590,Nishant Pitti,Director
780dabc4-787e-4001-9c4b-a07c9874ffab,100,MakeMyTrip India Pvt Ltd (publicly listed),Franchise,2008,100,Rajesh Magow,CEO/Co-founder
499ed48e-a3e7-480e-900b-f384cd1ec21f,20,Sohan Tours and Travels,Franchise,2009,2,Sohan Tours and Travels Team,
fc554f5b-c10b-4835-b81b-6eb90deb8862,105,Thomas Cook Group,Franchise,2001,50,Rohit Kapoor,Managing Director
ab2c97a4-15c8-4105-902b-e6b961445825,20,TVTRIPNSTAY HOLIDAYS PVT LTD,Multi-unit Franchise,2020,20,,
0fe579f2-a816-4116-a312-a340923dbfe6,20,,Multi-unit Franchise,2020,20,,
a0160a9a-fe08-485e-9592-67df5f2e6235,20,Southern Travels Pvt Ltd,Franchise,1970,20,,
ba736baa-47d2-4b53-8969-661dbce6e6a1,50,SMHL Group,"Franchise, Hotel Management",2019,50,,
f943babd-ea6a-444b-b645-315f491c40a6,50,Trip Factory Pvt Ltd,Franchise,2013,50,Amit Aggarwal,Co-founder & CEO
e277efc3-55a1-40a9-8fad-b3149ffe9d2f,10,,Private business / franchise-led car accessories chain,2010,10,Syed Shahid,Founder
347dcb07-5002-4376-b056-fc37fe48eac8,,SWANK AUTOCARE SOLUTIONS PRIVATE LIMITED,Private Limited Company,2024,,"Krishna Kumar Shukla, Ankit Kumar",Founders
4024b1c9-12fd-451e-8a5f-0a5025e55819,,Relux Group,Franchise & Owned Network - EV Charging Infrastructure,2009,,Dr. Karthikeyan Santharam,Managing Director & CEO
8be9d5c3-86aa-4cd5-be33-3b39dfd647fa,50,BLive (Arcis Group),Franchise / Managed EV Fleet Investment Model,2023,50,"Samarth Ulhas Kholkar, Sandeep Mukherjee","CEO & Co-Founder, COO & Co-Founder"
bb0d140f-d9e5-4b4a-8182-4376a439422f,,Hetvi Enterprise,Franchise - Service-based mechanized car wash,2004,15,Hetvi Enterprise Team,Promoters
d93c950c-ab6f-4a07-b92b-33b89adc419b,30,Simba Dickie Group,Private Limited Company,2007,30,Johnson Correya,Managing Director
243ecbfb-c97d-42f8-b56c-31ca4f742263,,Jangra Chemicals Private Limited,Manufacturer + Franchise/Distribution Network (B2B + B2C),2017,20,Hitesh Jangra,Co-Founder
5b707bb6-7325-4cd8-961e-8eff582d5328,,Motocruizer Technologies (I) Pvt. Ltd.,Tech-driven multi-brand bike rental platform (MaaS),2015,30,"Namit Jain, Shanky Munoth, Shobhit Saxena, Akashdeep Singal",Co-Founders
f796a38b-1d81-4e48-ad0c-4ebeb485b41d,180,AMO Mobility Solutions Pvt. Ltd.,Manufacturer + Dealership / Franchise Network,2018,180,Sushant Kumar,"Founder, Managing Director & CEO"
e909318a-6b26-4da4-a189-c7e5e01c2226,120,Doctor Garage brand group (Kayra Automobiles-linked entity),Service Franchise - Multi-brand Two-Wheeler Workshops,2014,120,Brijesh Patel,Founder & Director
ad81abe8-369b-42cc-b233-fa5e90258116,50,Reliance Retail Ventures Ltd,Division of Public Company - Youth Fashion (Gen Z),2023,50,Akhilesh Prasad,CEO
98ecc642-3342-4704-bc19-7da7d34461df,400,Redtape Limited (Mirza International),Public Limited Company - Footwear & Apparel,1996,400,Rashid Ahmed Mirza,Chairman
290bec96-ad40-46e1-ad88-33c3cf6536b9,75,The Carriall Co.,Private - Luggage & Travel Accessories,2017,75,Nilesh Ahire,Founder & CEO
0ce95acf-1221-45aa-ae6a-d496a33d1fa8,100,Canary Apparels Pvt. Ltd.,Private Limited Company - Men's Ready-to-wear,2007,100,Naveen Kishore,Director
3d7a177b-20bf-4b7d-a8a1-7c3514daa4a5,250,Specsmakers Opticians Pvt Ltd,Private Limited Company - Eyewear & Opticians,2007,250,Pratik Shah,CEO
2155ba74-85c2-4123-9485-75b3c9e07def,150,Sia Art Jewellery Private Limited,Private Limited Company - Fashion Jewellery,1995,150,Vaghjibhai Chheda,Founder
