id,franchise_id,products,services,created_by,updated_by,created_at,updated_at
6a518e4b-efe2-4605-bc50-d0efc1a51e74,b38c39c0-b9f6-495f-b8be-a65b1c0b9221,"[""Tea"", ""Coffee"", ""Snacks""]","[""Dine-in"", ""Takeaway"", ""Delivery""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
faeba5bd-6532-4cca-9a6f-dd33a7ef3554,c8f6989c-d785-4cf7-b127-b7ba288a3314,"[""Bubble tea"", ""Milk teas"", ""Fruit teas"", ""Slushes"", ""Pearls"", ""Jellies"", ""125+ premium beverages""]","[""Sit-in caf? service"", ""Takeaway"", ""Fast-casual beverage service""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
9a7120cb-cd73-40ac-aefe-e3e0e6441935,b297c5b9-82e3-4c3d-88fc-c509ae881207,"[""Tea"", ""Chai"", ""Coffee"", ""Cold drinks"", ""Milkshakes"", ""Quick beverages""]","[""Quick-service caf?"", ""Takeaway"", ""Counter service"", ""Fast-casual beverage service""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
c8c1a4cb-fee2-4656-ac8f-fa725d9d49c6,6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc,"[""Cold coffee"", ""Hot coffee"", ""Milkshakes"", ""Snacks"", ""Meals"", ""Breakfast items"", ""Fast food dishes""]","[""Caf?-style dining"", ""Takeaway"", ""Quick service"", ""Casual dining""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
f1d4e126-93c5-4e20-9972-dea0937a76a2,afb4be0a-0173-4248-b0b9-9c7ba0e3ce8f,"[""Coffee"", ""Mocktails"", ""Drinks"", ""Burgers"", ""Pizzas"", ""Light food"", ""Premium beverages""]","[""Premium caf? service"", ""Quick service"", ""Bar-themed caf? experience"", ""Takeaway""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
f0772d6e-695e-4f7c-85b4-a1428d20a811,09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7,"[""Silk Sarees (Banarasi, Kanjivaram, Kanchipuram, Tussar, Chanderi, Tant, Baluchari, etc.)"", ""Salwar Suits"", ""Lehengas"", ""Kurtis"", ""Fashion Jewelry"", ""Designer Blouses"", ""Stoles"", ""Scarves"", ""Menswear"", ""Kids' Wear""]","[""Retail store"", ""Franchise operations"", ""Training & support"", ""Marketing support""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
050caebe-712a-45f7-a39e-7a78474cc65d,b781fa76-8eaf-4cf9-a15c-b6a1c3503554,"[""Designer Ethnic Wear"", ""Western Wear"", ""Wedding Attire"", ""Festive Outfits"", ""Designer Accessories"", ""Jewelry"", ""Handbags"", ""Men's Ethnic & Western Wear""]","[""Operational guidance"", ""Marketing support"", ""Technology platform support"", ""Inventory management assistance""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
3f625365-2e2c-40de-a1ff-f1ab6359ded5,0e50ed02-6937-4c8d-aa31-b4202a5f77cd,"[""Kurtis"", ""Tops & Tunics"", ""Palazzos & Pants"", ""Suit Sets"", ""Co-ord Sets"", ""Dupattas & Stoles"", ""Bottoms""]","[""Retail store operations"", ""Fashion consultancy"", ""Marketing & promotions"", ""Inventory management""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
a6fabe26-3f57-4cd3-a042-ae68baab848c,7e62e026-71a1-4b49-971d-e8bcd1cc4e54,"[""Men's Casual Wear"", ""Women's Casual Wear"", ""Children's Wear"", ""Accessories"", ""T-shirts"", ""Jeans"", ""Jackets""]","[""Retail store operations"", ""Operational guidance"", ""Marketing support"", ""Site selection assistance"", ""Inventory management""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
283a40bf-95bb-4907-b67c-622c7cb51eb7,8a873fc8-8a68-461e-81f4-55d7f192f2b1,"[""Kurtis"", ""Tops"", ""Leggings"", ""Lehengas"", ""Western Dresses"", ""Women's Ethnic Wear"", ""Kids' Wear""]","[""Retail store operations"", ""Operational guidance"", ""Marketing support""]",00000000-0000-0000-0000-000000000001,,2026-1-10 12:02,2026-1-10 12:02
