"id","franchise_id","city","state","country","created_at"
"69ab0f6f-389c-4dc3-965e-167af9f281f0","b38c39c0-b9f6-495f-b8be-a65b1c0b9221","Delhi","Delhi","India","2026-01-10 12:02:52"
"90112379-c7bb-4737-b6bf-91f0a083a1dd","b38c39c0-b9f6-495f-b8be-a65b1c0b9221","Mumbai","Maharashtra","India","2026-01-10 12:02:52"
"30e91707-2f40-4b1c-91d1-1ab339051e81","b38c39c0-b9f6-495f-b8be-a65b1c0b9221","Bengaluru","Karnataka","India","2026-01-10 12:02:52"
"8eb0469b-8209-4ef6-a88a-2c0132e7b86b","c8f6989c-d785-4cf7-b127-b7ba288a3314","Chennai","Tamil Nadu","India","2026-01-10 12:02:52"
"e5b021c7-d86f-4313-8712-8d1b7b1689b4","c8f6989c-d785-4cf7-b127-b7ba288a3314","Bangalore","Karnataka","India","2026-01-10 12:02:52"
"c2167575-78fc-4f2d-a2a1-98d98a5dc424","b297c5b9-82e3-4c3d-88fc-c509ae881207","Yavatmal","Maharashtra","India","2026-01-10 12:02:52"
"e7580fc4-8ea5-4cf5-8efa-8fb8c415b995","b297c5b9-82e3-4c3d-88fc-c509ae881207","Hyderabad","Telangana","India","2026-01-10 12:02:52"
"8cad19cc-244e-4670-aadb-104b44865291","b297c5b9-82e3-4c3d-88fc-c509ae881207","Visakhapatnam","Andhra Pradesh","India","2026-01-10 12:02:52"
"5b5a302e-d331-439f-81c5-5196da958a21","b297c5b9-82e3-4c3d-88fc-c509ae881207","Chennai","Tamil Nadu","India","2026-01-10 12:02:52"
"75dc5681-85c0-40d6-a29c-b4b96b2717d2","6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc","Pune","Maharashtra","India","2026-01-10 12:02:52"
"704673ff-0f71-4b64-a29e-bb76d2a08ac9","6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc","Nagpur","Maharashtra","India","2026-01-10 12:02:52"
"2ef22ae5-82f4-416d-a90a-5ba09a7e9209","6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc","Aurangabad","Maharashtra","India","2026-01-10 12:02:52"
"1763ffc6-c6a5-4b39-a3b6-d60c41c3fc2c","6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc","Alibag","Maharashtra","India","2026-01-10 12:02:52"
"49cb5a93-5c8d-4b77-9951-7cac80ebf970","afb4be0a-0173-4248-b0b9-9c7ba0e3ce8f","Indore","Madhya Pradesh","India","2026-01-10 12:02:52"
"92d981bc-8ffc-473a-8cd9-06bc2e7a7acf","09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7","Kolkata","West Bengal","India","2026-01-10 12:02:52"
"b710ade2-a041-4dd2-88d8-f4b9a210f74d","09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7","Bhubaneswar","Odisha","India","2026-01-10 12:02:52"
"e61cac08-e2a9-4ebb-a352-53072bb6a4fd","09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7","Dhanbad","Jharkhand","India","2026-01-10 12:02:52"
"df902586-b41d-4721-8215-dc5229c6d022","09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7","Bhagalpur","Bihar","India","2026-01-10 12:02:52"
"736df19c-f1f1-4c53-902a-dc9074f591be","09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7","Begusarai","Bihar","India","2026-01-10 12:02:52"
"8d384da8-dcfa-44f4-bd72-607d803caa69","09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7","Guwahati","Assam","India","2026-01-10 12:02:52"
"4d94bbae-2bec-4692-b2f4-0742d4e799fb","09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7","Agartala","Tripura","India","2026-01-10 12:02:52"
"d7603fed-dbae-4990-b5c4-29e6c0a0aa45","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Delhi","Delhi","India","2026-01-10 12:02:52"
"74a8b5f8-c905-4a60-be98-fcbf6b03acb0","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Gurgaon","Haryana","India","2026-01-10 12:02:52"
"329eaed5-23ab-4975-a472-2ff819615f9e","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Ludhiana","Punjab","India","2026-01-10 12:02:52"
"00b108d1-d868-46e1-b3dd-d67c446ac68c","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Agra","Uttar Pradesh","India","2026-01-10 12:02:52"
"32104a20-4b7b-4104-8e46-97c9796ff33a","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Bangalore","Karnataka","India","2026-01-10 12:02:52"
"a618d8a3-1a52-4c51-82b9-15de287414fd","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Hyderabad","Telangana","India","2026-01-10 12:02:52"
"791e379e-b678-4f7c-9faf-4a79747b3e1f","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Coimbatore","Tamil Nadu","India","2026-01-10 12:02:52"
"f89be054-610a-44a6-b48e-66c11aff6007","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Erode","Tamil Nadu","India","2026-01-10 12:02:52"
"e97c376d-31cb-4638-80ca-c3b9da2cc4df","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Bhopal","Madhya Pradesh","India","2026-01-10 12:02:52"
"b3fd47f7-fb94-4bb7-ac7b-4c9f7eba4de6","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Jaipur","Rajasthan","India","2026-01-10 12:02:52"
"372434fe-5d57-495d-b69a-16b4d6a3fc18","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Mumbai","Maharashtra","India","2026-01-10 12:02:52"
"b01519be-e876-4770-b1f6-6e5d6039468d","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Pune","Maharashtra","India","2026-01-10 12:02:52"
"2b61ac01-c9df-4922-884d-3ce1c838f8df","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Nashik","Maharashtra","India","2026-01-10 12:02:52"
"3a705cd7-49c4-4584-90b8-2791f331182c","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Nagpur","Maharashtra","India","2026-01-10 12:02:52"
"6c2cb80c-9210-463a-a1ff-fe1953463914","b781fa76-8eaf-4cf9-a15c-b6a1c3503554","Surat","Gujarat","India","2026-01-10 12:02:52"
