id,listing_id,category_id,sub_category_id,is_primary,created_at
fc000000-0000-0000-0000-000000001000,b38c39c0-b9f6-495f-b8be-a65b1c0b9221,8dcc57a0-79ac-45dd-9db0-efb3d1fd5299,f5aa12c0-a668-4178-b870-908ba1c7ac67,True,2025-01-01 00:47:58
fc000000-0000-0000-0000-000000001001,c8f6989c-d785-4cf7-b127-b7ba288a3314,8dcc57a0-79ac-45dd-9db0-efb3d1fd5299,e8840113-28f3-4d0b-8d73-9f513c624c2a,True,2025-01-01 00:47:58
fc000000-0000-0000-0000-000000001002,b297c5b9-82e3-4c3d-88fc-c509ae881207,8dcc57a0-79ac-45dd-9db0-efb3d1fd5299,e8840113-28f3-4d0b-8d73-9f513c624c2a,True,2025-01-01 00:47:58
fc000000-0000-0000-0000-000000001003,6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc,8dcc57a0-79ac-45dd-9db0-efb3d1fd5299,f5aa12c0-a668-4178-b870-908ba1c7ac67,True,2025-01-01 00:47:58
fc000000-0000-0000-0000-000000001004,afb4be0a-0173-4248-b0b9-9c7ba0e3ce8f,8dcc57a0-79ac-45dd-9db0-efb3d1fd5299,f5aa12c0-a668-4178-b870-908ba1c7ac67,True,2025-01-01 00:47:58
fc000000-0000-0000-0000-000000001005,09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7,5f917eec-d4dc-40cb-94dd-b3272db3f858,2489267c-9b73-4948-a360-81d6ae8f9a8e,True,2025-01-01 00:50:57
fc000000-0000-0000-0000-000000001006,b781fa76-8eaf-4cf9-a15c-b6a1c3503554,5f917eec-d4dc-40cb-94dd-b3272db3f858,,True,2025-01-01 00:50:57
fc000000-0000-0000-0000-000000001007,0e50ed02-6937-4c8d-aa31-b4202a5f77cd,5f917eec-d4dc-40cb-94dd-b3272db3f858,bce1e994-acf3-4090-853f-efbc01836951,True,2025-01-01 00:50:57
fc000000-0000-0000-0000-000000001008,7e62e026-71a1-4b49-971d-e8bcd1cc4e54,5f917eec-d4dc-40cb-94dd-b3272db3f858,ad3bee99-7863-4b55-aa09-b9754b160c47,True,2025-01-01 00:50:57
fc000000-0000-0000-0000-000000001009,8a873fc8-8a68-461e-81f4-55d7f192f2b1,5f917eec-d4dc-40cb-94dd-b3272db3f858,bce1e994-acf3-4090-853f-efbc01836951,True,2025-01-01 00:50:57
